demo,cab_x,cab_y,cab_yaw,obj_x,obj_y,obj_yaw,cab_yaw_dev
demo_0,0.93787193,-0.055449963,3.056187151045851,0.24677801,0.5352795,-0.2403185057446317,0.08540550254394219
demo_1,0.8558786,-0.0241673,-3.048379013640441,0.19103622,0.5290719,-0.7716860015178237,0.09321363994935217
demo_10,0.9206691,0.041255116,3.093890187287788,0.2031765,0.49708676,-0.5249616536256412,0.04770246630200514
demo_100,0.931628,-0.057083607,3.04396319372737,0.21742201,0.3629669,0.13415743554494608,0.09762945986242322
demo_101,0.9327693,-0.0033544302,3.1342847348834044,0.18505502,0.4736333,0.4454556684992472,0.007307918706388694
demo_102,0.9181487,-0.007661581,3.1098775874629094,0.2553389,0.40938234,-0.1722027130170848,0.031715066126883684
demo_103,0.91276693,0.020803452,-3.117477479116037,0.22798538,0.52219033,0.2121501052054249,0.024115174473755996
demo_104,0.86479473,-0.04719901,-3.122937503344477,0.20990658,0.5259795,-0.41453821465763135,0.018655150245316054
demo_105,0.9140005,-0.048266053,3.0135924876509703,0.18938684,0.44448245,0.07556308488543041,0.1280001659388228
demo_106,0.85667324,-0.05488646,-3.0588417638874286,0.24801505,0.4671986,-0.4653738300592507,0.08275088970236455
demo_107,0.9485998,-0.056556225,3.0542075567733713,0.23437929,0.4535253,0.6442893989963253,0.08738509681642181
demo_108,0.9383421,0.05747688,-3.137589041109684,0.23688126,0.39146388,-0.22597391748272624,0.004003612480109275
demo_109,0.86327887,-0.002665639,-3.1214130562160527,0.22052431,0.41294992,-0.5573981450991945,0.02017959737374042
demo_11,0.94730496,-0.006770849,3.079708572563677,0.21265924,0.3849516,0.3946607925431688,0.06188408102611609
demo_110,0.8769784,0.01402545,3.0798947851965486,0.23194492,0.44268847,-0.27944198611551285,0.06169786839324454
demo_111,0.87074614,0.05376804,3.1320891384720744,0.20697272,0.43689775,-0.697800430477866,0.009503515117718742
demo_112,0.86039734,-0.013974071,-3.0360150871935336,0.1668477,0.40829575,-0.659239238506647,0.10557756639625948
demo_113,0.9267806,-0.005450964,-3.023711256725677,0.19573748,0.424222,-0.5268463319905682,0.11788139686411592
demo_114,0.89399815,-0.021526575,-3.1211472175413393,0.2570846,0.53006434,-0.07504207120043584,0.020445436048453836
demo_115,0.9248488,0.03432226,3.1281139855926465,0.2214309,0.5159332,-0.2947901906659249,0.013478667997146587
demo_116,0.8827257,-0.054920197,3.136971950547793,0.23219681,0.52483606,-0.23343633640020586,0.00462070304200024
demo_117,0.9097961,0.051100373,3.046066037390447,0.2528193,0.44466949,-0.5744019533625105,0.09552661619934621
